 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.01
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.01, -0.00) theta = -0.00
 Speed = (0.02, 0.01) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.03, 0.02) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.06, 0.06) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.07, 0.09) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.06, 0.08) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.06, 0.08) pos = (0.02, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.10, 0.10) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.11, 0.11) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.11, 0.10) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.09, 0.10) pos = (0.02, -0.00) theta = -0.00
 Speed = (0.08, 0.09) pos = (0.02, -0.00) theta = 0.00
 Speed = (0.08, 0.09) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.09, 0.09) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.09, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.03, -0.00) theta = 0.00
 Speed = (0.08, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.08, 0.08) pos = (0.04, -0.00) theta = 0.00
 Speed = (0.08, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.06, 0.06) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.06, 0.06) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.05, -0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.05, -0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.05, -0.00) theta = 0.01
 Speed = (0.07, 0.07) pos = (0.05, -0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.05, -0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.05, -0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.07) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.05, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.07, 0.06) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.06, 0.07) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.06, 0.00) theta = 0.01
 Speed = (0.06, 0.05) pos = (0.06, 0.00) theta = 0.00
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.06, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.06, 0.06) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.06, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.06, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.07, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.04) pos = (0.08, 0.00) theta = 0.00
 Speed = (0.04, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.03, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.05, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.08, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.05, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.05, 0.03) pos = (0.09, 0.00) theta = 0.00
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.05) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.05, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.00
 Speed = (0.03, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.09, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.04, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.04) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.02) pos = (0.10, 0.00) theta = 0.00
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.02, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
 Speed = (0.03, 0.03) pos = (0.10, 0.00) theta = 0.01
