 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.68
