P2P = (0.00, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.01) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.00) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.03, 0.01) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.02) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.01, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.00) pos = (0.15, 0.02) theta = 1.69
P2P = (-0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.70
P2P = (0.00, 0.11) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.70
P2P = (-0.00, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.02) theta = 1.71
